id_transaccion,fecha,id_fruta,id_pais,toneladas,precio_usd_tonelada,valor_fob_usd
EXP-2025-0125,2025-02-03,FRU-007,PAI-007,68.66,935.64,64241.04
EXP-2025-0126,2025-07-13,FRU-007,PAI-005,135.69,898.31,121891.68
EXP-2024-0127,2024-10-06,FRU-004,PAI-004,14.06,5063.66,71195.06
EXP-2025-0128,2025-11-26,FRU-007,PAI-004,111.39,949.03,105712.45
EXP-2024-0129,2024-05-10,FRU-005,PAI-005,13.78,3538.96,48766.87
EXP-2025-0130,2025-07-31,FRU-006,PAI-001,21.75,1186.29,25801.81
EXP-2025-0131,2025-04-17,FRU-002,PAI-001,46.42,1458.56,67706.36
EXP-2025-0132,2025-04-10,FRU-003,PAI-003,116.57,735.5,85737.24
EXP-2025-0133,2025-03-07,FRU-003,PAI-007,21.47,692.33,14864.33
EXP-2025-0134,2025-07-06,FRU-001,PAI-003,41.39,2234.35,92479.75
EXP-2025-0135,2025-10-29,FRU-001,PAI-007,14.34,2302.96,33024.45
EXP-2024-0136,2024-01-21,FRU-005,PAI-002,43.4,3584.77,155579.02
EXP-2024-0137,2024-04-27,FRU-005,PAI-002,75.1,3459.6,259815.96
EXP-2025-0138,2025-01-12,FRU-002,PAI-005,95.01,1559.5,148168.1
EXP-2024-0139,2024-04-27,FRU-007,PAI-007,32.93,872.79,28740.97
EXP-2025-0140,2025-08-15,FRU-001,PAI-003,90.61,2556.68,231660.77
EXP-2025-0141,2025-01-19,FRU-004,PAI-006,37.77,5276.63,199298.32
EXP-2025-0142,2025-10-04,FRU-002,PAI-001,107.61,1452.38,156290.61
EXP-2025-0143,2025-12-01,FRU-005,PAI-007,26.95,3878.69,104530.7
EXP-2024-0144,2024-02-12,FRU-003,PAI-005,69.97,734.47,51390.87
EXP-2025-0145,2025-06-02,FRU-006,PAI-003,11.77,1184.65,13943.33
EXP-2025-0146,2025-05-16,FRU-001,PAI-004,144.51,2452.06,354347.19
EXP-2025-0147,2025-04-15,FRU-006,PAI-002,70.97,1244.89,88349.84
EXP-2025-0148,2025-10-28,FRU-003,PAI-005,123.15,754.58,92926.53
EXP-2025-0149,2025-05-10,FRU-004,PAI-004,125.6,5276.94,662783.66
EXP-2024-0150,2024-11-26,FRU-007,PAI-002,126.3,840.48,106152.62
EXP-2025-0151,2025-04-06,FRU-002,PAI-007,75.06,1526.48,114577.59
EXP-2025-0152,2025-01-23,FRU-003,PAI-001,79.2,729.0,57736.8
EXP-2025-0153,2025-05-14,FRU-002,PAI-003,121.7,1461.68,177886.46
EXP-2025-0154,2025-09-02,FRU-006,PAI-003,87.81,1203.19,105652.11
EXP-2024-0155,2024-07-14,FRU-001,PAI-002,110.81,2395.61,265457.54
EXP-2024-0156,2024-09-03,FRU-006,PAI-004,100.43,1198.24,120339.24
EXP-2024-0157,2024-01-18,FRU-001,PAI-003,41.02,2473.65,101469.12
EXP-2024-0158,2024-11-09,FRU-006,PAI-005,61.66,1210.27,74625.25
EXP-2024-0159,2024-12-18,FRU-004,PAI-006,87.05,5076.71,441927.61
EXP-2025-0160,2025-04-09,FRU-003,PAI-003,45.2,704.48,31842.5
EXP-2024-0161,2024-07-16,FRU-003,PAI-001,114.0,804.11,91668.54
EXP-2025-0162,2025-12-07,FRU-002,PAI-002,40.29,1496.21,60282.3
EXP-2025-0163,2025-08-26,FRU-007,PAI-005,93.55,969.19,90667.72
EXP-2024-0164,2024-07-17,FRU-003,PAI-002,60.52,726.27,43953.86
EXP-2025-0165,2025-12-26,FRU-005,PAI-002,48.4,3873.19,187462.4
EXP-2025-0166,2025-07-20,FRU-003,PAI-006,142.17,766.54,108978.99
EXP-2025-0167,2025-05-17,FRU-001,PAI-007,11.72,2317.19,27157.47
EXP-2025-0168,2025-05-05,FRU-004,PAI-003,35.81,4826.75,172845.92
EXP-2025-0169,2025-05-04,FRU-001,PAI-007,19.15,2396.83,45899.29
EXP-2025-0170,2025-08-13,FRU-006,PAI-006,17.51,1132.65,19832.7
EXP-2025-0171,2025-07-30,FRU-003,PAI-001,149.15,704.21,105032.92
EXP-2025-0172,2025-03-02,FRU-005,PAI-005,120.7,3442.0,415449.4
EXP-2025-0173,2025-06-19,FRU-004,PAI-004,137.19,5031.4,690257.77
EXP-2025-0174,2025-08-25,FRU-004,PAI-003,89.61,4834.11,433184.6
EXP-2024-0175,2024-04-11,FRU-007,PAI-002,97.57,866.11,84506.35
EXP-2024-0176,2024-03-24,FRU-002,PAI-002,34.33,1398.02,47994.03
EXP-2024-0177,2024-01-03,FRU-004,PAI-004,106.51,5174.97,551186.05
EXP-2024-0178,2024-02-03,FRU-002,PAI-003,108.97,1548.72,168764.02
EXP-2025-0179,2025-04-09,FRU-001,PAI-006,42.68,2309.59,98573.3
EXP-2025-0180,2025-10-02,FRU-005,PAI-006,122.55,3425.94,419848.95
EXP-2024-0181,2024-04-27,FRU-005,PAI-002,100.67,3835.24,386093.61
EXP-2024-0182,2024-05-25,FRU-001,PAI-001,33.23,2326.12,77296.97
EXP-2025-0183,2025-08-05,FRU-003,PAI-004,27.41,772.64,21178.06
EXP-2025-0184,2025-12-17,FRU-004,PAI-003,80.07,5194.84,415950.84
EXP-2024-0185,2024-03-23,FRU-005,PAI-001,134.52,3735.09,502444.31
EXP-2025-0186,2025-09-10,FRU-003,PAI-001,22.79,805.43,18355.75
EXP-2025-0187,2025-08-12,FRU-005,PAI-001,149.94,3699.23,554662.55
EXP-2024-0188,2024-10-02,FRU-005,PAI-001,116.84,3412.91,398764.4
EXP-2025-0189,2025-06-15,FRU-006,PAI-004,138.25,1138.85,157446.01
EXP-2025-0190,2025-08-22,FRU-004,PAI-006,123.99,5590.25,693135.1
EXP-2025-0191,2025-04-26,FRU-003,PAI-004,56.66,770.42,43652.0
EXP-2024-0192,2024-06-13,FRU-003,PAI-004,107.11,724.59,77610.83
EXP-2025-0193,2025-02-14,FRU-007,PAI-007,87.01,893.49,77742.56
EXP-2024-0194,2024-11-18,FRU-003,PAI-003,26.23,782.71,20530.48
EXP-2025-0195,2025-06-10,FRU-007,PAI-001,102.07,906.13,92488.69
EXP-2025-0196,2025-02-27,FRU-001,PAI-002,82.58,2447.09,202080.69
EXP-2025-0197,2025-05-25,FRU-006,PAI-004,116.4,1143.08,133054.51
EXP-2025-0198,2025-07-16,FRU-002,PAI-003,71.34,1547.58,110404.36
EXP-2024-0199,2024-05-04,FRU-001,PAI-006,95.24,2299.89,219041.52
EXP-2024-0200,2024-06-11,FRU-003,PAI-005,11.91,738.96,8801.01
EXP-2024-0201,2024-08-18,FRU-007,PAI-001,74.6,844.92,63031.03
EXP-2024-0202,2024-06-06,FRU-004,PAI-006,50.86,5370.9,273163.97
EXP-2025-0203,2025-03-01,FRU-007,PAI-004,147.23,863.1,127074.21
EXP-2025-0204,2025-07-18,FRU-002,PAI-004,36.69,1523.85,55910.06
EXP-2024-0205,2024-05-19,FRU-007,PAI-001,48.67,941.76,45835.46
EXP-2025-0206,2025-02-28,FRU-003,PAI-007,81.08,788.47,63929.15
EXP-2024-0207,2024-10-16,FRU-006,PAI-003,127.25,1215.35,154653.29
EXP-2025-0208,2025-11-06,FRU-004,PAI-007,30.8,5232.1,161148.68
EXP-2024-0209,2024-12-19,FRU-003,PAI-005,116.8,735.27,85879.54
EXP-2024-0210,2024-11-25,FRU-007,PAI-002,147.31,862.39,127038.67
EXP-2025-0211,2025-01-27,FRU-002,PAI-007,118.58,1390.48,164883.12
EXP-2025-0212,2025-04-29,FRU-006,PAI-007,63.37,1293.78,81986.84
EXP-2025-0213,2025-10-29,FRU-002,PAI-004,145.08,1410.3,204606.32
EXP-2025-0214,2025-08-27,FRU-003,PAI-007,24.05,791.4,19033.17
EXP-2024-0215,2024-04-12,FRU-005,PAI-004,12.15,3395.03,41249.61
EXP-2025-0216,2025-11-01,FRU-002,PAI-001,75.73,1612.61,122122.96
EXP-2024-0217,2024-12-12,FRU-005,PAI-006,65.65,3358.26,220469.77
EXP-2024-0218,2024-12-02,FRU-007,PAI-006,130.31,882.72,115027.24
EXP-2024-0219,2024-11-20,FRU-006,PAI-006,134.24,1197.69,160777.91
EXP-2025-0220,2025-07-08,FRU-001,PAI-005,19.58,2450.37,47978.24
EXP-2024-0221,2024-10-21,FRU-002,PAI-006,22.65,1614.8,36575.22
EXP-2025-0222,2025-10-10,FRU-006,PAI-007,24.07,1135.94,27342.08
EXP-2024-0223,2024-11-02,FRU-001,PAI-001,55.41,2229.55,123539.37
EXP-2025-0224,2025-01-02,FRU-003,PAI-004,30.38,753.74,22898.62
EXP-2025-0225,2025-08-02,FRU-006,PAI-007,35.21,1137.61,40055.25
EXP-2025-0226,2025-09-16,FRU-007,PAI-004,96.76,862.68,83472.92
EXP-2025-0227,2025-08-20,FRU-002,PAI-002,74.56,1440.95,107437.23
EXP-2024-0228,2024-09-18,FRU-006,PAI-001,135.85,1193.33,162113.88
EXP-2024-0229,2024-10-21,FRU-006,PAI-005,32.12,1188.81,38184.58
EXP-2024-0230,2024-12-19,FRU-005,PAI-003,99.45,3556.4,353683.98
EXP-2024-0231,2024-09-13,FRU-004,PAI-007,52.3,5615.48,293689.6
EXP-2025-0232,2025-05-09,FRU-001,PAI-002,63.39,2345.84,148702.8
EXP-2024-0233,2024-10-29,FRU-006,PAI-003,13.07,1263.37,16512.25
EXP-2025-0234,2025-02-09,FRU-003,PAI-001,89.23,772.3,68912.33
EXP-2024-0235,2024-02-20,FRU-005,PAI-006,79.54,3832.79,304860.12
EXP-2024-0236,2024-10-20,FRU-007,PAI-007,42.22,943.48,39833.73
EXP-2024-0237,2024-08-12,FRU-006,PAI-002,96.92,1234.13,119611.88
EXP-2025-0238,2025-11-06,FRU-006,PAI-007,29.15,1122.66,32725.54
EXP-2025-0239,2025-10-04,FRU-006,PAI-001,53.25,1188.64,63295.08
EXP-2025-0240,2025-08-16,FRU-003,PAI-006,28.4,799.16,22696.14
EXP-2024-0241,2024-11-30,FRU-006,PAI-004,34.59,1129.37,39064.91
EXP-2025-0242,2025-07-06,FRU-003,PAI-005,80.25,722.7,57996.68
EXP-2024-0243,2024-06-17,FRU-003,PAI-007,142.19,806.09,114617.94
EXP-2024-0244,2024-10-29,FRU-006,PAI-007,57.42,1126.11,64661.24
EXP-2024-0245,2024-03-18,FRU-002,PAI-007,145.31,1586.43,230524.14
EXP-2025-0246,2025-11-21,FRU-004,PAI-007,122.64,5088.32,624031.56
EXP-2025-0247,2025-02-08,FRU-001,PAI-003,85.12,2382.64,202810.32
EXP-2025-0248,2025-11-19,FRU-006,PAI-006,46.7,1177.16,54973.37
EXP-2025-0249,2025-10-15,FRU-003,PAI-001,104.48,746.58,78002.68
EXP-2025-0250,2025-09-26,FRU-005,PAI-003,138.14,3439.51,475133.91
EXP-2024-0251,2024-03-05,FRU-006,PAI-007,75.0,1238.61,92895.75
EXP-2025-0252,2025-10-26,FRU-004,PAI-001,29.57,5571.29,164743.05
EXP-2024-0253,2024-11-07,FRU-004,PAI-001,23.61,5522.2,130379.14
EXP-2024-0254,2024-05-18,FRU-004,PAI-004,61.94,5573.88,345246.13
EXP-2025-0255,2025-12-14,FRU-005,PAI-004,92.23,3730.52,344065.86
EXP-2025-0256,2025-02-28,FRU-006,PAI-001,126.72,1222.21,154878.45
EXP-2024-0257,2024-10-13,FRU-001,PAI-006,61.87,2378.26,147142.95
EXP-2024-0258,2024-08-29,FRU-007,PAI-003,23.91,926.74,22158.35
EXP-2025-0259,2025-07-11,FRU-006,PAI-003,18.48,1156.97,21380.81
EXP-2024-0260,2024-05-05,FRU-007,PAI-007,73.66,923.44,68020.59
EXP-2025-0261,2025-10-19,FRU-006,PAI-005,145.95,1113.71,162545.97
EXP-2024-0262,2024-12-07,FRU-002,PAI-002,120.18,1429.25,171767.27
EXP-2025-0263,2025-07-21,FRU-002,PAI-005,40.23,1588.73,63914.61
EXP-2024-0264,2024-12-02,FRU-007,PAI-002,120.41,913.82,110033.07
EXP-2024-0265,2024-10-10,FRU-007,PAI-002,148.25,905.79,134283.37
EXP-2024-0266,2024-06-27,FRU-001,PAI-006,131.3,2258.61,296555.49
EXP-2025-0267,2025-01-01,FRU-007,PAI-007,43.31,874.62,37879.79
EXP-2024-0268,2024-06-27,FRU-003,PAI-001,27.75,740.52,20549.43
EXP-2024-0269,2024-04-26,FRU-006,PAI-001,76.67,1253.38,96096.64
EXP-2025-0270,2025-06-09,FRU-005,PAI-001,73.28,3439.61,252054.62
EXP-2025-0271,2025-09-21,FRU-001,PAI-006,119.65,2540.92,304021.08
EXP-2025-0272,2025-06-17,FRU-003,PAI-004,100.07,693.74,69422.56
EXP-2025-0273,2025-05-05,FRU-007,PAI-004,69.68,843.55,58778.56
EXP-2025-0274,2025-12-30,FRU-004,PAI-001,135.9,5052.0,686566.8
EXP-2024-0275,2024-05-31,FRU-001,PAI-002,48.5,2451.1,118878.35
EXP-2025-0276,2025-07-15,FRU-006,PAI-003,63.33,1218.7,77180.27
EXP-2024-0277,2024-10-28,FRU-004,PAI-005,94.76,4866.52,461151.44
EXP-2025-0278,2025-12-19,FRU-001,PAI-007,101.66,2545.04,258728.77
EXP-2025-0279,2025-07-18,FRU-006,PAI-007,40.1,1190.7,47747.07
EXP-2024-0280,2024-08-21,FRU-004,PAI-003,125.84,5115.74,643764.72
EXP-2024-0281,2024-04-07,FRU-003,PAI-004,53.75,720.59,38731.71
EXP-2024-0282,2024-06-05,FRU-006,PAI-004,19.4,1263.7,24515.78
EXP-2024-0283,2024-04-05,FRU-004,PAI-001,114.24,5094.04,581943.13
EXP-2024-0284,2024-05-13,FRU-005,PAI-001,92.11,3635.47,334863.14
EXP-2024-0285,2024-12-03,FRU-006,PAI-001,67.51,1271.73,85854.49
EXP-2025-0286,2025-03-09,FRU-007,PAI-006,17.2,869.42,14954.02
EXP-2024-0287,2024-11-15,FRU-003,PAI-001,90.91,715.53,65048.83
EXP-2025-0288,2025-11-03,FRU-004,PAI-002,128.62,5075.29,652783.8
EXP-2025-0289,2025-07-23,FRU-003,PAI-001,116.76,758.89,88608.0
EXP-2025-0290,2025-03-15,FRU-007,PAI-005,146.44,945.85,138510.27
EXP-2025-0291,2025-09-20,FRU-006,PAI-006,87.94,1220.93,107368.58
EXP-2025-0292,2025-11-04,FRU-007,PAI-006,47.44,853.98,40512.81
EXP-2025-0293,2025-12-20,FRU-007,PAI-003,139.02,878.55,122136.02
EXP-2024-0294,2024-07-04,FRU-007,PAI-002,89.28,885.71,79076.19
EXP-2024-0295,2024-05-25,FRU-006,PAI-006,146.05,1121.62,163812.6
EXP-2025-0296,2025-06-27,FRU-002,PAI-004,68.78,1461.82,100543.98
EXP-2025-0297,2025-01-13,FRU-003,PAI-006,55.41,802.97,44492.57
EXP-2025-0298,2025-09-02,FRU-001,PAI-001,31.78,2497.7,79376.91
EXP-2024-0299,2024-02-20,FRU-006,PAI-001,48.09,1231.09,59203.12
EXP-2025-0300,2025-05-12,FRU-005,PAI-004,67.99,3436.17,233625.2
EXP-2025-0301,2025-06-08,FRU-001,PAI-003,70.19,2316.77,162614.09
EXP-2025-0302,2025-11-25,FRU-005,PAI-004,83.77,3489.65,292327.98
EXP-2024-0303,2024-08-13,FRU-004,PAI-005,17.67,4954.08,87538.59
EXP-2024-0304,2024-08-04,FRU-007,PAI-002,116.98,869.68,101735.17
EXP-2024-0305,2024-05-02,FRU-001,PAI-004,114.58,2275.47,260723.35
EXP-2025-0306,2025-01-24,FRU-005,PAI-006,42.22,3633.82,153419.88
EXP-2025-0307,2025-11-15,FRU-007,PAI-003,20.09,952.09,19127.49
EXP-2024-0308,2024-02-13,FRU-004,PAI-001,74.37,4848.78,360603.77
EXP-2024-0309,2024-11-16,FRU-005,PAI-004,90.28,3720.67,335902.09
EXP-2025-0310,2025-03-03,FRU-003,PAI-001,66.7,805.94,53756.2
EXP-2024-0311,2024-06-24,FRU-007,PAI-005,74.41,927.3,69000.39
EXP-2025-0312,2025-01-05,FRU-001,PAI-004,128.23,2301.43,295112.37
EXP-2025-0313,2025-08-26,FRU-004,PAI-005,21.01,5508.28,115728.96
EXP-2024-0314,2024-12-13,FRU-002,PAI-003,119.08,1398.33,166513.14
EXP-2025-0315,2025-10-10,FRU-001,PAI-005,81.39,2555.87,208022.26
EXP-2024-0316,2024-12-23,FRU-003,PAI-006,144.15,767.45,110627.92
EXP-2024-0317,2024-05-31,FRU-002,PAI-001,30.5,1427.35,43534.17
EXP-2025-0318,2025-09-08,FRU-002,PAI-007,116.28,1398.08,162568.74
EXP-2025-0319,2025-10-05,FRU-004,PAI-004,115.62,5416.22,626223.36
EXP-2025-0320,2025-04-04,FRU-006,PAI-005,100.02,1293.41,129366.87
EXP-2024-0321,2024-11-26,FRU-007,PAI-006,54.26,891.33,48363.57
EXP-2025-0322,2025-04-25,FRU-004,PAI-006,52.39,5012.53,262606.45
EXP-2024-0323,2024-02-27,FRU-003,PAI-005,20.39,745.41,15198.91
EXP-2024-0324,2024-02-08,FRU-001,PAI-003,126.44,2237.46,282904.44
EXP-2024-0325,2024-04-02,FRU-005,PAI-005,80.99,3578.52,289824.33
