id_registro,fecha_registro,id_barrio,id_comercio,ventas_mensuales_usd,alquiler_promedio_m2,afluencia_peatonal,costo_operativo_usd,porcentaje_descuento_renta
REG000027,2023-02-28,BAR007,COM010,5015,8.02,2073,3433,0.0
REG000028,2023-02-28,BAR007,COM011,6770,8.4,2829,4113,0.0
REG000029,2023-02-28,BAR008,COM024,9990,15.96,4787,6820,0.0
REG000030,2023-02-28,BAR008,COM025,6657,15.68,2781,4481,0.0
REG000031,2023-02-28,BAR002,COM020,19720,36.12,9609,16576,0.0
REG000032,2023-02-28,BAR002,COM022,13172,34.5,5237,9958,0.0
REG000033,2023-02-28,BAR002,COM008,138267,35.11,12184,196739,0.0
REG000034,2023-02-28,BAR002,COM005,4387,34.64,2072,4092,0.0
REG000035,2023-02-28,BAR003,COM023,173942,46.54,12116,299821,0.0
REG000036,2023-02-28,BAR003,COM021,18759,45.16,8396,14153,0.0
REG000037,2023-02-28,BAR003,COM006,3153,45.92,1468,3411,0.0
REG000038,2023-02-28,BAR004,COM012,5458,18.63,2328,3958,0.0
REG000039,2023-02-28,BAR004,COM013,9262,17.68,4120,6875,0.0
REG000040,2023-02-28,BAR004,COM014,5197,17.8,2216,3847,0.0
REG000041,2023-02-28,BAR004,COM016,8918,17.8,3459,6079,0.0
REG000042,2023-02-28,BAR001,COM017,5511,11.86,2980,3967,0.0
REG000043,2023-02-28,BAR001,COM018,4620,12.36,2040,3302,0.0
REG000044,2023-02-28,BAR001,COM019,10696,12.27,4612,7040,0.0
REG000045,2023-02-28,BAR005,COM003,5053,9.98,2041,3365,0.0
REG000046,2023-02-28,BAR005,COM007,4732,10.32,2236,2999,0.0
REG000047,2023-03-31,BAR006,COM001,5086,10.07,2303,3449,0.0
REG000048,2023-03-31,BAR006,COM002,8446,9.81,3511,5200,0.0
REG000049,2023-03-31,BAR006,COM004,4609,9.83,1815,3569,0.0
REG000050,2023-03-31,BAR007,COM010,4556,8.48,2265,3364,0.0
REG000051,2023-03-31,BAR007,COM011,6756,8.41,3279,4067,0.0
REG000052,2023-03-31,BAR008,COM024,10079,15.56,4780,6522,0.0
REG000053,2023-03-31,BAR008,COM025,7032,15.43,2858,4929,0.0
REG000054,2023-03-31,BAR002,COM020,19452,37.05,8831,16754,0.0
REG000055,2023-03-31,BAR002,COM022,14083,35.31,6289,10259,0.0
REG000056,2023-03-31,BAR002,COM008,134293,36.15,12605,197619,0.0
REG000057,2023-03-31,BAR002,COM005,3776,36.06,1468,3960,0.0
REG000058,2023-03-31,BAR003,COM023,181442,45.46,12634,302006,0.0
REG000059,2023-03-31,BAR003,COM021,19247,45.89,8752,14175,0.0
REG000060,2023-03-31,BAR003,COM006,2759,46.9,1460,3178,0.0
REG000061,2023-03-31,BAR004,COM012,5731,18.21,2508,4208,0.0
REG000062,2023-03-31,BAR004,COM013,9594,17.9,3841,7146,0.0
REG000063,2023-03-31,BAR004,COM014,4986,17.98,2462,3952,0.0
REG000064,2023-03-31,BAR004,COM016,8711,18.72,3475,6038,0.0
REG000065,2023-03-31,BAR001,COM017,5663,11.93,2352,4160,0.0
REG000066,2023-03-31,BAR001,COM018,5218,12.0,2491,3452,0.0
REG000067,2023-03-31,BAR001,COM019,10595,12.18,5131,7296,0.0
REG000068,2023-03-31,BAR005,COM003,4717,10.25,2434,3121,0.0
REG000069,2023-03-31,BAR005,COM007,4932,9.84,2197,3104,0.0
REG000070,2023-04-30,BAR006,COM001,5275,9.75,2097,3681,0.0
REG000071,2023-04-30,BAR006,COM002,8121,9.97,4128,5021,0.0
REG000072,2023-04-30,BAR006,COM004,4606,10.09,1959,3275,0.0
REG000073,2023-04-30,BAR007,COM010,4739,8.0,2182,3414,0.0
REG000074,2023-04-30,BAR007,COM011,6096,8.37,2999,3857,0.0
REG000075,2023-04-30,BAR008,COM024,9763,15.33,4711,6666,0.0
REG000076,2023-04-30,BAR008,COM025,6586,16.05,3332,4629,0.0
REG000077,2023-04-30,BAR002,COM020,18614,36.18,8047,16124,0.0
REG000078,2023-04-30,BAR002,COM022,14451,37.47,6761,10567,0.0
REG000079,2023-04-30,BAR002,COM008,125426,37.21,10322,193625,0.0
REG000080,2023-04-30,BAR002,COM005,3456,35.84,1498,3806,0.0
REG000081,2023-04-30,BAR003,COM023,184041,48.36,15809,315574,0.0
REG000082,2023-04-30,BAR003,COM021,19547,47.0,7340,14748,0.0
REG000083,2023-04-30,BAR003,COM006,2648,48.36,1240,3017,0.0
REG000084,2023-04-30,BAR004,COM012,5327,18.68,2806,3971,0.0
REG000085,2023-04-30,BAR004,COM013,9782,18.23,3879,7242,0.0
REG000086,2023-04-30,BAR004,COM014,4951,17.75,2561,3699,0.0
REG000087,2023-04-30,BAR004,COM016,9318,18.78,3795,6087,0.0
REG000088,2023-04-30,BAR001,COM017,5857,12.5,2820,4135,0.0
REG000089,2023-04-30,BAR001,COM018,4626,12.49,2535,3152,0.0
REG000090,2023-04-30,BAR001,COM019,9905,11.86,5327,6670,0.0
REG000091,2023-04-30,BAR005,COM003,4977,10.15,2492,3346,0.0
REG000092,2023-04-30,BAR005,COM007,4670,9.94,2024,3200,0.0
REG000093,2023-05-31,BAR006,COM001,5598,9.94,2026,3913,0.0
REG000094,2023-05-31,BAR006,COM002,8767,9.84,4160,5294,0.0
REG000095,2023-05-31,BAR006,COM004,4216,9.81,2067,3346,0.0
REG000096,2023-05-31,BAR007,COM010,4762,8.17,2383,3290,0.0
REG000097,2023-05-31,BAR007,COM011,6142,8.08,2802,3824,0.0
REG000098,2023-05-31,BAR008,COM024,10928,16.19,5468,7247,0.0
REG000099,2023-05-31,BAR008,COM025,6602,15.34,2800,4490,0.0
REG000100,2023-05-31,BAR002,COM020,20147,37.49,8852,16990,0.0
REG000101,2023-05-31,BAR002,COM022,13088,37.09,6126,10069,0.0
REG000102,2023-05-31,BAR002,COM008,128129,36.22,12274,192521,0.0
REG000103,2023-05-31,BAR002,COM005,3004,37.86,1458,3567,0.0
REG000104,2023-05-31,BAR003,COM023,165438,47.46,15169,296200,0.0
REG000105,2023-05-31,BAR003,COM021,18872,49.34,7953,14209,0.0
REG000106,2023-05-31,BAR003,COM006,2222,47.44,964,2928,0.0
REG000107,2023-05-31,BAR004,COM012,5478,18.53,2592,3708,0.0
REG000108,2023-05-31,BAR004,COM013,9751,17.93,4569,7246,0.0
REG000109,2023-05-31,BAR004,COM014,5583,18.38,2134,4017,0.0
REG000110,2023-05-31,BAR004,COM016,9332,18.31,3715,6285,0.0
REG000111,2023-05-31,BAR001,COM017,6437,12.26,2850,4608,0.0
REG000112,2023-05-31,BAR001,COM018,5028,12.35,2508,3499,0.0
REG000113,2023-05-31,BAR001,COM019,10402,12.48,5157,7116,0.0
REG000114,2023-05-31,BAR005,COM003,4942,9.97,2319,3372,0.0
REG000115,2023-05-31,BAR005,COM007,4634,10.2,2266,3013,0.0
REG000116,2023-06-30,BAR006,COM001,5072,9.81,2084,3458,0.0
REG000117,2023-06-30,BAR006,COM002,8048,9.79,3929,5146,0.0
REG000118,2023-06-30,BAR006,COM004,4040,9.89,2096,3132,0.0
REG000119,2023-06-30,BAR007,COM010,4693,8.24,2181,3455,0.0
REG000120,2023-06-30,BAR007,COM011,6562,8.46,2965,4201,0.0
REG000121,2023-06-30,BAR008,COM024,9815,15.75,4670,6665,0.0
REG000122,2023-06-30,BAR008,COM025,7041,15.81,3300,4935,0.0
REG000123,2023-06-30,BAR002,COM020,20322,37.07,9213,16925,0.0
REG000124,2023-06-30,BAR002,COM022,12734,37.33,6139,9801,0.0
REG000125,2023-06-30,BAR002,COM008,129308,37.63,11059,196190,0.0
REG000126,2023-06-30,BAR002,COM005,2595,37.47,1323,3251,0.0
REG000127,2023-06-30,BAR003,COM023,179140,48.12,12524,310072,0.0
REG000128,2023-06-30,BAR003,COM021,18692,48.35,7495,14137,0.0
REG000129,2023-06-30,BAR003,COM006,1857,49.94,928,2852,0.0
REG000130,2023-06-30,BAR004,COM012,5357,17.92,2415,3835,0.0
REG000131,2023-06-30,BAR004,COM013,9160,18.62,4905,7126,0.0
REG000132,2023-06-30,BAR004,COM014,5441,18.95,2484,4025,0.0
REG000133,2023-06-30,BAR004,COM016,8381,18.04,3453,5698,0.0
REG000134,2023-06-30,BAR001,COM017,5718,12.39,2774,4146,0.0
REG000135,2023-06-30,BAR001,COM018,5034,12.42,2025,3349,0.0
REG000136,2023-06-30,BAR001,COM019,11123,11.95,5157,7183,0.0
REG000137,2023-06-30,BAR005,COM003,5297,10.43,2209,3484,0.0
REG000138,2023-06-30,BAR005,COM007,4309,10.27,2236,2977,0.0
REG000139,2023-07-31,BAR006,COM001,5492,10.19,2106,3819,0.0
REG000140,2023-07-31,BAR006,COM002,9213,10.15,3445,5661,0.0
REG000141,2023-07-31,BAR006,COM004,4261,9.98,1935,3178,0.0
REG000142,2023-07-31,BAR007,COM010,5183,8.1,2475,3739,0.0
REG000143,2023-07-31,BAR007,COM011,6711,8.4,3016,4150,0.0
REG000144,2023-07-31,BAR008,COM024,11486,15.75,5200,7606,0.0
REG000145,2023-07-31,BAR008,COM025,6561,15.91,3024,4669,0.0
REG000146,2023-07-31,BAR002,COM020,21223,39.03,8498,17661,0.0
REG000147,2023-07-31,BAR002,COM022,13260,38.19,7004,10119,0.0
REG000148,2023-07-31,BAR002,COM008,127591,39.08,11082,198584,0.0
REG000149,2023-07-31,BAR002,COM005,2677,37.9,1061,3440,0.0
REG000150,2023-07-31,BAR003,COM023,170897,48.61,15661,306330,0.0
REG000151,2023-07-31,BAR003,COM021,19851,50.05,7632,15075,0.0
REG000152,2023-07-31,BAR004,COM012,5904,18.54,2772,4257,0.0
REG000153,2023-07-31,BAR004,COM013,9003,18.76,3760,6862,0.0
REG000154,2023-07-31,BAR004,COM014,5232,18.58,2447,3983,0.0
REG000155,2023-07-31,BAR004,COM016,8669,18.77,4349,5727,0.0
REG000156,2023-07-31,BAR001,COM017,5642,12.06,2526,3829,0.0
REG000157,2023-07-31,BAR001,COM018,5167,12.06,2278,3450,0.0
REG000158,2023-07-31,BAR001,COM019,10758,12.64,4698,7237,0.0
REG000159,2023-07-31,BAR005,COM003,4831,9.99,2193,3147,0.0
REG000160,2023-07-31,BAR005,COM007,4267,10.2,1901,2811,0.0
REG000161,2023-08-31,BAR006,COM001,5318,10.13,2737,3531,0.0
REG000162,2023-08-31,BAR006,COM002,8547,10.23,4320,5388,0.0
REG000163,2023-08-31,BAR006,COM004,4319,9.82,1963,3085,0.0
REG000164,2023-08-31,BAR007,COM010,4916,8.48,2539,3388,0.0
REG000165,2023-08-31,BAR007,COM011,6521,8.09,2532,3924,0.0
REG000166,2023-08-31,BAR008,COM024,10385,16.53,4965,6768,0.0
REG000167,2023-08-31,BAR008,COM025,6703,16.33,3233,4562,0.0
REG000168,2023-08-31,BAR002,COM020,20032,38.71,9240,17268,0.0
REG000169,2023-08-31,BAR002,COM022,13450,39.13,7237,10284,0.0
REG000170,2023-08-31,BAR002,COM008,149359,38.16,12451,213322,0.0
REG000171,2023-08-31,BAR002,COM005,2197,38.08,1107,2861,0.0
REG000172,2023-08-31,BAR003,COM023,177948,51.27,12717,319826,0.0
REG000173,2023-08-31,BAR003,COM021,19929,51.61,8062,15113,0.0
REG000174,2023-08-31,BAR004,COM012,6192,18.96,2784,4362,0.0
REG000175,2023-08-31,BAR004,COM013,10117,18.56,4508,7552,0.0
REG000176,2023-08-31,BAR004,COM014,5626,19.0,2506,4077,0.0
REG000177,2023-08-31,BAR004,COM016,8671,18.92,3659,5853,0.0
REG000178,2023-08-31,BAR001,COM017,5662,12.48,2564,4093,0.0
REG000179,2023-08-31,BAR001,COM018,4969,12.34,2558,3297,0.0
REG000180,2023-08-31,BAR001,COM019,10302,12.21,4081,6843,0.0
REG000181,2023-08-31,BAR005,COM003,5554,10.42,2062,3697,0.0
REG000182,2023-08-31,BAR005,COM007,5002,10.32,2390,3216,0.0
REG000183,2023-09-30,BAR006,COM001,5500,10.02,2070,3836,0.0
REG000184,2023-09-30,BAR006,COM002,8131,10.09,4380,5179,0.0
REG000185,2023-09-30,BAR006,COM004,4083,9.95,1981,3075,0.0
REG000186,2023-09-30,BAR007,COM010,5222,8.25,2359,3662,0.0
REG000187,2023-09-30,BAR007,COM011,6857,8.49,2724,4278,0.0
REG000188,2023-09-30,BAR008,COM024,10435,15.96,4822,7105,0.0
REG000189,2023-09-30,BAR008,COM025,6620,16.6,2915,4701,0.0
REG000190,2023-09-30,BAR002,COM020,20012,38.69,9342,17054,0.0
REG000191,2023-09-30,BAR002,COM022,14217,40.04,6822,10603,0.0
REG000192,2023-09-30,BAR002,COM008,150404,39.28,11904,217911,0.0
REG000193,2023-09-30,BAR002,COM005,2276,39.68,852,3034,0.0
REG000194,2023-09-30,BAR003,COM023,182998,52.07,13576,326169,0.0
REG000195,2023-09-30,BAR003,COM021,20689,51.78,10124,15409,0.0
REG000196,2023-09-30,BAR004,COM012,5826,18.98,2913,4115,0.0
REG000197,2023-09-30,BAR004,COM013,10007,19.27,4024,7435,0.0
REG000198,2023-09-30,BAR004,COM014,5208,19.21,2449,4032,0.0
REG000199,2023-09-30,BAR004,COM016,9505,18.48,4547,6382,0.0
REG000200,2023-09-30,BAR001,COM017,6462,12.4,2676,4577,0.0
REG000201,2023-09-30,BAR001,COM018,4818,12.45,2115,3585,0.0
REG000202,2023-09-30,BAR001,COM019,9859,12.42,4734,6654,0.0
REG000203,2023-09-30,BAR005,COM003,5218,10.22,2392,3405,0.0
REG000204,2023-09-30,BAR005,COM007,4783,10.29,1910,3081,0.0
REG000205,2023-10-31,BAR006,COM001,4907,10.22,2605,3540,0.0
REG000206,2023-10-31,BAR006,COM002,8420,10.17,4262,5415,0.0
REG000207,2023-10-31,BAR006,COM004,4374,9.79,2277,3294,0.0
REG000208,2023-10-31,BAR007,COM010,5236,8.54,2308,3582,0.0
REG000209,2023-10-31,BAR007,COM011,6370,8.46,2938,3953,0.0
REG000210,2023-10-31,BAR008,COM024,10190,16.18,5130,6982,0.0
REG000211,2023-10-31,BAR008,COM025,6821,16.36,2862,4879,0.0
REG000212,2023-10-31,BAR002,COM020,21567,39.73,10250,18048,0.0
REG000213,2023-10-31,BAR002,COM022,14574,40.91,6778,10789,0.0
REG000214,2023-10-31,BAR002,COM008,145162,41.03,10314,218796,0.0
REG000215,2023-10-31,BAR002,COM005,1905,39.05,940,2963,0.0
REG000216,2023-10-31,BAR003,COM023,182044,53.45,17019,331876,0.0
REG000217,2023-10-31,BAR003,COM021,20448,52.18,7665,15409,0.0
REG000218,2023-10-31,BAR004,COM012,5886,18.9,2379,4259,0.0
REG000219,2023-10-31,BAR004,COM013,8894,19.25,3905,6972,0.0
REG000220,2023-10-31,BAR004,COM014,5686,18.42,2236,4240,0.0
REG000221,2023-10-31,BAR004,COM016,8665,18.27,3796,5918,0.0
REG000222,2023-10-31,BAR001,COM017,6233,12.18,3086,4289,0.0
REG000223,2023-10-31,BAR001,COM018,5058,12.54,2162,3490,0.0
REG000224,2023-10-31,BAR001,COM019,11057,12.21,4405,7312,0.0
REG000225,2023-10-31,BAR005,COM003,4974,10.32,2348,3375,0.0
REG000226,2023-10-31,BAR005,COM007,4489,10.57,2421,3096,0.0
REG000227,2023-11-30,BAR006,COM001,5360,10.21,2248,3805,0.0
REG000228,2023-11-30,BAR006,COM002,8731,10.1,3374,5617,0.0
REG000229,2023-11-30,BAR006,COM004,4596,10.16,1866,3378,0.0
REG000230,2023-11-30,BAR007,COM010,5044,8.45,2341,3585,0.0
REG000231,2023-11-30,BAR007,COM011,6775,8.43,3060,4373,0.0
REG000232,2023-11-30,BAR008,COM024,10488,16.23,5133,6992,0.0
REG000233,2023-11-30,BAR008,COM025,6196,16.09,3224,4482,0.0
REG000234,2023-11-30,BAR002,COM020,19290,40.71,8410,17204,0.0
REG000235,2023-11-30,BAR002,COM022,14979,41.42,6445,11133,0.0
REG000236,2023-11-30,BAR002,COM008,143183,41.37,13132,217600,0.0
REG000237,2023-11-30,BAR003,COM023,174457,55.28,14742,330837,0.0
REG000238,2023-11-30,BAR003,COM021,20772,54.51,10176,16004,0.0
REG000239,2023-11-30,BAR004,COM012,6173,18.77,3050,4412,0.0
REG000240,2023-11-30,BAR004,COM013,9630,18.87,3717,7363,0.0
REG000241,2023-11-30,BAR004,COM014,5433,19.29,2562,4332,0.0
REG000242,2023-11-30,BAR004,COM016,8668,18.38,3632,5956,0.0
REG000243,2023-11-30,BAR001,COM017,6483,12.28,2814,4280,0.0
REG000244,2023-11-30,BAR001,COM018,5326,12.34,2492,3624,0.0
REG000245,2023-11-30,BAR001,COM019,11260,12.34,4261,7477,0.0
REG000246,2023-11-30,BAR005,COM003,5525,10.08,2079,3622,0.0
REG000247,2023-11-30,BAR005,COM007,4826,10.58,2219,3186,0.0
REG000248,2023-12-31,BAR006,COM001,6026,10.08,3110,3907,0.0
REG000249,2023-12-31,BAR006,COM002,10161,10.4,4672,6065,0.0
REG000250,2023-12-31,BAR006,COM004,5226,10.4,2304,3940,0.0
REG000251,2023-12-31,BAR007,COM010,6121,8.4,2377,4277,0.0
REG000252,2023-12-31,BAR007,COM011,7602,8.23,3363,4511,0.0
REG000253,2023-12-31,BAR008,COM024,12927,16.53,6537,8375,0.0
REG000254,2023-12-31,BAR008,COM025,7362,16.66,3729,4946,0.0
REG000255,2023-12-31,BAR002,COM020,24975,40.16,9975,20166,0.0
REG000256,2023-12-31,BAR002,COM022,16157,42.14,7018,11856,0.0
REG000257,2023-12-31,BAR002,COM008,185197,40.0,12970,247170,0.0
REG000258,2023-12-31,BAR003,COM023,212396,53.94,16808,355807,0.0
REG000259,2023-12-31,BAR003,COM021,21910,53.16,11297,16453,0.0
REG000260,2023-12-31,BAR004,COM012,6898,18.64,2973,4511,0.0
REG000261,2023-12-31,BAR004,COM013,11583,19.3,5623,8398,0.0
REG000262,2023-12-31,BAR004,COM014,6478,18.57,3183,4700,0.0
REG000263,2023-12-31,BAR004,COM016,10111,19.34,5621,6781,0.0
REG000264,2023-12-31,BAR001,COM017,7268,12.89,3347,4740,0.0
REG000265,2023-12-31,BAR001,COM018,5916,12.68,2714,3993,0.0
REG000266,2023-12-31,BAR001,COM019,11786,12.22,6456,7803,0.0
REG000267,2023-12-31,BAR005,COM003,6030,10.42,2473,3948,0.0
REG000268,2023-12-31,BAR005,COM007,6022,10.35,2403,3852,0.0
REG000269,2024-01-31,BAR006,COM001,4486,10.28,2247,3371,0.0
REG000270,2024-01-31,BAR006,COM002,8075,10.29,3678,4987,0.0
REG000271,2024-01-31,BAR006,COM004,3791,10.06,1775,2970,0.0
REG000272,2024-01-31,BAR007,COM010,4174,8.36,1977,3079,0.0
REG000273,2024-01-31,BAR007,COM011,5484,8.61,2540,3332,0.0
REG000274,2024-01-31,BAR008,COM024,9158,16.06,4895,6315,0.0
REG000275,2024-01-31,BAR008,COM025,6045,16.54,2978,4344,0.0
REG000276,2024-01-31,BAR002,COM020,17506,41.48,8036,16216,0.0
REG000277,2024-01-31,BAR002,COM022,13496,42.4,6228,10666,0.0
REG000278,2024-01-31,BAR002,COM008,128709,42.04,11317,206918,0.0
REG000279,2024-01-31,BAR003,COM023,163793,54.43,14950,320954,0.0
REG000280,2024-01-31,BAR003,COM021,18640,55.99,7808,14874,0.0
REG000281,2024-01-31,BAR004,COM012,6396,19.48,2982,4486,0.0
REG000282,2024-01-31,BAR004,COM013,9027,19.6,4629,7160,0.0
REG000283,2024-01-31,BAR004,COM014,5137,19.34,2289,3919,0.0
REG000284,2024-01-31,BAR004,COM016,8506,19.53,3996,5786,0.0
REG000285,2024-01-31,BAR004,COM023,123022,23.54,10551,179408,0.0
REG000286,2024-01-31,BAR001,COM017,5253,12.53,2686,3726,0.0
REG000287,2024-01-31,BAR001,COM018,4677,12.8,1973,3347,0.0
REG000288,2024-01-31,BAR001,COM019,8834,12.33,3786,6192,0.0
REG000289,2024-01-31,BAR005,COM003,4529,10.47,2248,3099,0.0
REG000290,2024-01-31,BAR005,COM007,4037,10.52,1871,2628,0.0
REG000291,2024-02-29,BAR006,COM001,5151,10.3,2374,3591,0.0
REG000292,2024-02-29,BAR006,COM002,7984,10.13,4110,5085,0.0
REG000293,2024-02-29,BAR006,COM004,4272,10.01,1709,3105,0.0
REG000294,2024-02-29,BAR007,COM010,4827,8.17,2090,3462,0.0
REG000295,2024-02-29,BAR007,COM011,6341,8.52,2653,3975,0.0
REG000296,2024-02-29,BAR008,COM024,11451,16.11,5458,7628,0.0
REG000297,2024-02-29,BAR008,COM025,6157,16.96,2615,4543,0.0
REG000298,2024-02-29,BAR002,COM020,21050,43.01,9672,18296,0.0
REG000299,2024-02-29,BAR002,COM022,13129,42.03,5717,10373,0.0
REG000300,2024-02-29,BAR002,COM008,155811,43.54,12766,231558,0.0
REG000301,2024-02-29,BAR003,COM023,184764,57.05,17715,345838,0.0
REG000302,2024-02-29,BAR003,COM021,19389,56.2,8804,15112,0.0
REG000303,2024-02-29,BAR004,COM012,5568,19.32,2275,3984,0.0
REG000304,2024-02-29,BAR004,COM013,8912,20.05,4656,7133,0.0
REG000305,2024-02-29,BAR004,COM014,4848,19.36,2518,3716,0.0
REG000306,2024-02-29,BAR004,COM016,8995,19.96,4046,5916,0.0
REG000307,2024-02-29,BAR004,COM023,146022,24.54,13176,202306,0.0
REG000308,2024-02-29,BAR001,COM017,6550,12.69,2745,4565,0.0
REG000309,2024-02-29,BAR001,COM018,5322,12.74,2371,3533,0.0
REG000310,2024-02-29,BAR001,COM019,10506,12.49,4196,6987,0.0
REG000311,2024-02-29,BAR005,COM003,5240,10.28,2062,3471,0.0
REG000312,2024-02-29,BAR005,COM007,4907,10.13,1836,3397,0.0
REG000313,2024-03-31,BAR006,COM001,5445,10.22,2689,3739,0.0
REG000314,2024-03-31,BAR006,COM002,9022,10.46,3981,5608,0.0
REG000315,2024-03-31,BAR006,COM004,4529,10.11,2196,3387,0.0
REG000316,2024-03-31,BAR007,COM010,4620,8.23,2022,3412,0.0
REG000317,2024-03-31,BAR007,COM011,6700,8.43,2806,4039,0.0
REG000318,2024-03-31,BAR008,COM024,10840,16.56,4600,7181,0.0
REG000319,2024-03-31,BAR008,COM025,6548,16.4,2727,4553,0.0
REG000320,2024-03-31,BAR002,COM020,21237,43.86,9043,18618,0.0
REG000321,2024-03-31,BAR002,COM022,13349,43.57,5644,10387,0.0
REG000322,2024-03-31,BAR002,COM008,153174,44.16,13288,232622,0.0
REG000323,2024-03-31,BAR003,COM023,197570,56.52,15436,353624,0.0
REG000324,2024-03-31,BAR003,COM021,20754,57.39,10426,16056,0.0
REG000325,2024-03-31,BAR004,COM012,5039,20.32,2672,3838,0.0
REG000326,2024-03-31,BAR004,COM013,8771,20.88,4246,7098,0.0
REG000327,2024-03-31,BAR004,COM014,4753,20.65,2271,3812,0.0
REG000328,2024-03-31,BAR004,COM016,7897,20.08,3518,5332,0.0
REG000329,2024-03-31,BAR004,COM023,147005,24.61,13926,202074,0.0
REG000330,2024-03-31,BAR001,COM017,6491,12.39,2441,4573,0.0
REG000331,2024-03-31,BAR001,COM018,5348,12.34,2520,3608,0.0
REG000332,2024-03-31,BAR001,COM019,10008,12.6,5221,6677,0.0
REG000333,2024-03-31,BAR005,COM003,5472,10.62,2620,3494,0.0
REG000334,2024-03-31,BAR005,COM007,4598,10.54,2080,2987,0.0
REG000335,2024-04-30,BAR006,COM001,5173,10.4,2394,3592,0.0
REG000336,2024-04-30,BAR006,COM002,8365,10.44,3962,5253,0.0
REG000337,2024-04-30,BAR006,COM004,4337,10.53,2216,3510,0.0
REG000338,2024-04-30,BAR007,COM010,4800,8.39,2234,3370,0.0
REG000339,2024-04-30,BAR007,COM011,6820,8.6,3363,4095,0.0
REG000340,2024-04-30,BAR008,COM024,11230,17.08,4617,7437,0.0
REG000341,2024-04-30,BAR008,COM025,7068,17.06,2681,4817,0.0
REG000342,2024-04-30,BAR002,COM020,20250,44.82,10306,18019,0.0
REG000343,2024-04-30,BAR002,COM022,15356,43.03,6392,11523,0.0
REG000344,2024-04-30,BAR002,COM008,139495,42.59,12009,217285,0.0
REG000345,2024-04-30,BAR003,COM023,212942,58.37,15140,371446,0.0
REG000346,2024-04-30,BAR003,COM021,21334,59.34,10387,16600,0.0
REG000347,2024-04-30,BAR004,COM012,4694,21.61,1968,3651,0.0
REG000348,2024-04-30,BAR004,COM013,8246,21.12,3235,6538,0.0
REG000349,2024-04-30,BAR004,COM014,4253,21.61,1757,3631,0.0
REG000350,2024-04-30,BAR004,COM016,7583,20.69,3665,5213,0.0
REG000351,2024-04-30,BAR004,COM023,137761,25.77,11637,200236,0.0
REG000352,2024-04-30,BAR001,COM017,5786,13.05,2768,4147,0.0
REG000353,2024-04-30,BAR001,COM018,5061,12.54,1962,3379,0.0
REG000354,2024-04-30,BAR001,COM019,10864,12.54,4746,7245,0.0
REG000355,2024-04-30,BAR005,COM003,4906,10.76,2506,3148,0.0
REG000356,2024-04-30,BAR005,COM007,4674,10.77,2139,3161,0.0
REG000357,2024-05-31,BAR006,COM001,5343,10.36,2360,3897,0.0
REG000358,2024-05-31,BAR006,COM002,7968,10.46,3635,4986,0.0
REG000359,2024-05-31,BAR006,COM004,4530,10.45,2159,3512,0.0
REG000360,2024-05-31,BAR007,COM010,4615,8.49,2149,3388,0.0
REG000361,2024-05-31,BAR007,COM011,6795,8.45,2668,4301,0.0
REG000362,2024-05-31,BAR008,COM024,11564,16.35,5204,7669,0.0
REG000363,2024-05-31,BAR008,COM025,6489,16.33,3011,4434,0.0
REG000364,2024-05-31,BAR002,COM020,22584,44.46,8280,19585,0.0
