id_publicacion,fecha_publicacion,id_institucion,id_revista,ciudad_revista,costo_apc,tipo_revista,canal_publicacion,porcentaje_beca,monto_beca
PUB000041,2024-06-20,INST013,REV001,Londres,3106,Journal,Consorcio,0.3463,1075
PUB000042,2024-06-23,INST004,REV005,Heidelberg,2649,Journal,Consorcio,0.5807,1538
PUB000043,2024-06-24,INST012,REV005,Heidelberg,2657,Journal,Consorcio,0.3126,830
PUB000044,2024-07-02,INST002,REV011,Londres,2449,Journal,Directo,0.3018,739
PUB000045,2024-07-02,INST014,REV007,Tokio,929,Conference,Consorcio,0.5072,471
PUB000046,2024-07-02,INST019,REV002,Basilea,1927,Journal,Consorcio,0.4496,866
PUB000047,2024-07-12,INST001,REV009,Berlín,1008,Book Series,Repositorio,0.3466,349
PUB000048,2024-07-21,INST033,REV007,Tokio,932,Conference,Consorcio,0.2771,258
PUB000049,2024-07-28,INST039,REV010,Hoboken,2978,Journal,Directo,0.5601,1667
PUB000050,2024-07-31,INST015,REV005,Heidelberg,3478,Journal,Directo,0.2578,896
PUB000051,2024-08-04,INST002,REV002,Basilea,2278,Journal,Directo,0.3346,762
PUB000052,2024-08-09,INST016,REV009,Berlín,1715,Book Series,Directo,0.3914,671
PUB000053,2024-08-12,INST005,REV012,Oxford,1929,Book Series,Directo,0.3683,710
PUB000054,2024-08-13,INST026,REV012,Oxford,1166,Book Series,Repositorio,0.4082,475
PUB000055,2024-08-17,INST004,REV001,Londres,2850,Journal,Consorcio,0.5988,1706
PUB000056,2024-08-17,INST012,REV012,Oxford,1940,Book Series,Directo,0.4492,871
PUB000057,2024-08-19,INST019,REV008,Munich,909,Conference,Repositorio,0.4116,374
PUB000058,2024-08-31,INST018,REV010,Hoboken,2628,Journal,Consorcio,0.4294,1128
PUB000059,2024-09-09,INST012,REV004,Nueva York,2787,Journal,Directo,0.4551,1268
PUB000060,2024-09-18,INST035,REV007,Tokio,1141,Conference,Directo,0.5847,667
PUB000061,2024-09-24,INST025,REV006,Lausana,2187,Journal,Consorcio,0.0064,13
PUB000062,2024-10-02,INST018,REV005,Heidelberg,2707,Journal,Consorcio,0.2526,683
PUB000063,2024-10-06,INST005,REV002,Basilea,2198,Journal,Directo,0.4712,1035
PUB000064,2024-10-08,INST006,REV008,Munich,1438,Conference,Directo,0.4614,663
PUB000065,2024-10-09,INST008,REV007,Tokio,974,Conference,Consorcio,0.5244,510
PUB000066,2024-10-12,INST026,REV001,Londres,3648,Journal,Directo,0.288,1050
PUB000067,2024-10-25,INST002,REV002,Basilea,2200,Journal,Directo,0.3651,803
PUB000068,2024-10-27,INST001,REV005,Heidelberg,3457,Journal,Directo,0.3702,1279
PUB000069,2024-11-01,INST006,REV001,Londres,2343,Journal,Repositorio,0.445,1042
PUB000070,2024-11-04,INST005,REV009,Berlín,1766,Book Series,Directo,0.3658,646
PUB000071,2024-11-06,INST040,REV011,Londres,1602,Journal,Repositorio,0.0383,61
PUB000072,2024-11-08,INST016,REV008,Munich,1499,Conference,Directo,0.2853,427
PUB000073,2024-11-10,INST011,REV007,Tokio,1159,Conference,Directo,0.4213,488
PUB000074,2024-11-11,INST001,REV002,Basilea,1191,Journal,Repositorio,0.4495,535
PUB000075,2024-11-11,INST028,REV011,Londres,1933,Journal,Consorcio,0.5043,974
PUB000076,2024-11-18,INST018,REV009,Berlín,1365,Book Series,Consorcio,0.2544,347
PUB000077,2024-11-20,INST004,REV009,Berlín,1776,Book Series,Directo,0.5009,889
PUB000078,2024-11-20,INST018,REV001,Londres,3617,Journal,Directo,0.4508,1630
PUB000079,2024-11-23,INST027,REV001,Londres,2969,Journal,Consorcio,0.2489,738
PUB000080,2024-11-24,INST012,REV001,Londres,3718,Journal,Directo,0.3112,1157
PUB000081,2024-11-27,INST021,REV008,Munich,1223,Conference,Consorcio,0.0442,54
PUB000082,2024-12-02,INST026,REV006,Lausana,2667,Journal,Directo,0.3236,863
PUB000083,2024-12-13,INST013,REV006,Lausana,2203,Journal,Consorcio,0.4641,1022
PUB000084,2024-12-15,INST002,REV007,Tokio,1172,Conference,Directo,0.4623,541
PUB000085,2024-12-15,INST018,REV010,Hoboken,2973,Journal,Directo,0.4907,1458
PUB000086,2024-12-18,INST012,REV009,Berlín,1527,Book Series,Consorcio,0.326,497
PUB000087,2024-12-19,INST001,REV002,Basilea,2244,Journal,Directo,0.2208,495
PUB000088,2024-12-20,INST004,REV002,Basilea,1838,Journal,Consorcio,0.3397,624
PUB000089,2024-12-20,INST002,REV001,Londres,3024,Journal,Consorcio,0.2044,618
PUB000090,2024-12-22,INST012,REV010,Hoboken,2388,Journal,Consorcio,0.3698,883
PUB000091,2024-12-22,INST019,REV007,Tokio,902,Conference,Consorcio,0.2731,246
PUB000092,2024-12-24,INST005,REV007,Tokio,1181,Conference,Directo,0.4697,554
PUB000093,2024-12-25,INST011,REV003,Ámsterdam,2425,Journal,Consorcio,0.5942,1440
PUB000094,2025-01-07,INST015,REV004,Nueva York,3056,Journal,Directo,0.4174,1275
PUB000095,2025-01-09,INST012,REV008,Munich,1542,Conference,Directo,0.3907,602
PUB000096,2025-01-13,INST008,REV003,Ámsterdam,2833,Journal,Consorcio,0.4644,1315
PUB000097,2025-01-14,INST006,REV007,Tokio,992,Conference,Consorcio,0.2993,296
PUB000098,2025-01-14,INST016,REV008,Munich,1605,Conference,Directo,0.2154,345
PUB000099,2025-01-18,INST005,REV001,Londres,2538,Journal,Repositorio,0.2749,697
PUB000100,2025-01-19,INST017,REV012,Oxford,2077,Book Series,Directo,0.4877,1012
PUB000101,2025-01-25,INST009,REV011,Londres,2101,Journal,Consorcio,0.3152,662
PUB000102,2025-01-25,INST026,REV011,Londres,2249,Journal,Consorcio,0.2237,503
PUB000103,2025-01-30,INST012,REV008,Munich,1306,Conference,Consorcio,0.4201,548
PUB000104,2025-02-13,INST020,REV005,Heidelberg,2896,Journal,Consorcio,0.474,1372
PUB000105,2025-02-16,INST026,REV007,Tokio,1070,Conference,Consorcio,0.4738,506
PUB000106,2025-02-19,INST009,REV007,Tokio,1253,Conference,Directo,0.2017,252
PUB000107,2025-02-20,INST024,REV008,Munich,1546,Conference,Directo,0.0012,1
PUB000108,2025-02-24,INST006,REV001,Londres,3904,Journal,Directo,0.2536,990
PUB000109,2025-02-28,INST025,REV006,Lausana,1519,Journal,Repositorio,0.0304,46
PUB000110,2025-03-05,INST036,REV006,Lausana,2248,Journal,Consorcio,0.3788,851
PUB000111,2025-03-06,INST012,REV011,Londres,2590,Journal,Directo,0.3615,936
PUB000112,2025-03-13,INST018,REV003,Ámsterdam,3336,Journal,Directo,0.2865,955
PUB000113,2025-03-18,INST035,REV008,Munich,1602,Conference,Directo,0.4918,787
PUB000114,2025-03-20,INST017,REV005,Heidelberg,3153,Journal,Consorcio,0.3521,1110
PUB000115,2025-03-25,INST011,REV009,Berlín,1905,Book Series,Directo,0.4693,894
PUB000116,2025-03-26,INST009,REV002,Basilea,2057,Journal,Consorcio,0.4412,907
PUB000117,2025-04-01,INST004,REV006,Lausana,1510,Journal,Repositorio,0.4109,620
PUB000118,2025-04-05,INST002,REV008,Munich,1236,Conference,Consorcio,0.4707,581
PUB000119,2025-04-05,INST008,REV001,Londres,4060,Journal,Directo,0.5357,2174
PUB000120,2025-04-07,INST012,REV008,Munich,1243,Conference,Consorcio,0.3777,469
PUB000121,2025-04-07,INST016,REV008,Munich,1614,Conference,Directo,0.3475,560
PUB000122,2025-04-09,INST001,REV004,Nueva York,1680,Journal,Repositorio,0.407,683
PUB000123,2025-04-11,INST018,REV007,Tokio,1030,Conference,Consorcio,0.3364,346
PUB000124,2025-04-15,INST033,REV011,Londres,2633,Journal,Directo,0.1816,478
PUB000125,2025-04-16,INST026,REV003,Ámsterdam,3345,Journal,Directo,0.3379,1130
PUB000126,2025-04-22,INST040,REV007,Tokio,1289,Conference,Directo,0.057,73
PUB000127,2025-04-28,INST012,REV006,Lausana,1532,Journal,Repositorio,0.226,346
PUB000128,2025-04-30,INST029,REV002,Basilea,2092,Journal,Consorcio,0.4262,891
PUB000129,2025-05-04,INST009,REV012,Oxford,1825,Book Series,Consorcio,0.2748,501
PUB000130,2025-05-10,INST005,REV010,Hoboken,2535,Journal,Consorcio,0.271,686
PUB000131,2025-05-10,INST002,REV003,Ámsterdam,3285,Journal,Directo,0.2796,918
PUB000132,2025-05-10,INST026,REV011,Londres,2591,Journal,Directo,0.4704,1218
PUB000133,2025-05-10,INST026,REV010,Hoboken,3186,Journal,Directo,0.4071,1297
PUB000134,2025-05-16,INST006,REV005,Heidelberg,3667,Journal,Directo,0.3037,1113
PUB000135,2025-05-16,INST006,REV006,Lausana,2772,Journal,Directo,0.2347,650
PUB000136,2025-05-17,INST014,REV011,Londres,2173,Journal,Consorcio,0.3052,663
PUB000137,2025-05-17,INST011,REV003,Ámsterdam,3390,Journal,Directo,0.3635,1232
PUB000138,2025-05-18,INST018,REV006,Lausana,2899,Journal,Directo,0.4318,1251
PUB000139,2025-05-19,INST006,REV009,Berlín,1106,Book Series,Repositorio,0.4158,459
PUB000140,2025-05-21,INST009,REV009,Berlín,1928,Book Series,Directo,0.4584,883
PUB000141,2025-05-23,INST016,REV010,Hoboken,2827,Journal,Consorcio,0.2448,692
PUB000142,2025-05-25,INST028,REV005,Heidelberg,3200,Journal,Consorcio,0.4095,1310
PUB000143,2025-06-02,INST027,REV001,Londres,2208,Journal,Repositorio,0.2666,588
PUB000144,2025-06-02,INST026,REV011,Londres,2275,Journal,Consorcio,0.4836,1100
PUB000145,2025-06-05,INST002,REV004,Nueva York,1763,Journal,Repositorio,0.3627,639
PUB000146,2025-06-07,INST009,REV002,Basilea,1912,Journal,Consorcio,0.4003,765
PUB000147,2025-06-07,INST032,REV012,Oxford,2115,Book Series,Directo,0.2419,511
PUB000148,2025-06-09,INST005,REV002,Basilea,2414,Journal,Directo,0.4624,1116
PUB000149,2025-06-10,INST026,REV005,Heidelberg,2289,Journal,Repositorio,0.4934,1129
PUB000150,2025-06-11,INST015,REV009,Berlín,1461,Book Series,Consorcio,0.4498,657
PUB000151,2025-06-13,INST030,REV006,Lausana,2282,Journal,Consorcio,0.3754,856
PUB000152,2025-06-16,INST011,REV001,Londres,4016,Journal,Directo,0.5601,2249
PUB000153,2025-06-16,INST018,REV009,Berlín,1652,Book Series,Consorcio,0.4608,761
PUB000154,2025-06-20,INST036,REV005,Heidelberg,2374,Journal,Repositorio,0.239,567
PUB000155,2025-06-22,INST006,REV010,Hoboken,3340,Journal,Directo,0.3308,1104
PUB000156,2025-06-25,INST028,REV003,Ámsterdam,2625,Journal,Consorcio,0.4939,1296
PUB000157,2025-06-26,INST012,REV008,Munich,1582,Conference,Directo,0.3831,606
PUB000158,2025-06-26,INST011,REV006,Lausana,2787,Journal,Directo,0.3835,1068
PUB000159,2025-06-27,INST030,REV011,Londres,1711,Journal,Repositorio,0.2701,462
PUB000160,2025-06-29,INST001,REV008,Munich,943,Conference,Repositorio,0.2744,258
PUB000161,2025-06-29,INST002,REV008,Munich,1563,Conference,Directo,0.4192,655
PUB000162,2025-07-01,INST035,REV001,Londres,4035,Journal,Directo,0.5966,2407
PUB000163,2025-07-07,INST019,REV012,Oxford,1124,Book Series,Repositorio,0.2829,317
PUB000164,2025-07-09,INST009,REV009,Berlín,1467,Book Series,Consorcio,0.4674,685
PUB000165,2025-07-10,INST018,REV008,Munich,1604,Conference,Directo,0.3085,494
PUB000166,2025-07-11,INST010,REV002,Basilea,2442,Journal,Directo,0.3398,829
PUB000167,2025-07-12,INST037,REV002,Basilea,2104,Journal,Consorcio,0.103,216
PUB000168,2025-07-14,INST017,REV002,Basilea,2433,Journal,Directo,0.5068,1233
PUB000169,2025-07-29,INST004,REV003,Ámsterdam,3362,Journal,Directo,0.3908,1313
PUB000170,2025-07-29,INST008,REV010,Hoboken,2690,Journal,Consorcio,0.4326,1163
PUB000171,2025-08-02,INST018,REV008,Munich,1253,Conference,Consorcio,0.2611,327
PUB000172,2025-08-05,INST001,REV002,Basilea,2410,Journal,Directo,0.269,648
PUB000173,2025-08-07,INST009,REV010,Hoboken,2547,Journal,Consorcio,0.328,835
PUB000174,2025-08-14,INST002,REV009,Berlín,1557,Book Series,Consorcio,0.257,400
PUB000175,2025-08-17,INST006,REV012,Oxford,1793,Book Series,Consorcio,0.3294,590
PUB000176,2025-08-17,INST029,REV004,Nueva York,1695,Journal,Repositorio,0.494,837
PUB000177,2025-09-01,INST018,REV009,Berlín,1916,Book Series,Directo,0.4643,889
PUB000178,2025-09-03,INST003,REV009,Berlín,1850,Book Series,Directo,0.116,214
PUB000179,2025-09-10,INST019,REV007,Tokio,1244,Conference,Directo,0.2802,348
PUB000180,2025-09-14,INST007,REV012,Oxford,1239,Book Series,Repositorio,0.2334,289
PUB000181,2025-09-15,INST001,REV004,Nueva York,3021,Journal,Directo,0.2177,657
PUB000182,2025-09-19,INST009,REV008,Munich,1599,Conference,Directo,0.3913,625
PUB000183,2025-09-20,INST026,REV008,Munich,1344,Conference,Consorcio,0.3154,423
PUB000184,2025-09-26,INST028,REV003,Ámsterdam,3405,Journal,Directo,0.5242,1784
PUB000185,2025-09-30,INST006,REV011,Londres,1502,Journal,Repositorio,0.399,599
PUB000186,2025-10-12,INST001,REV002,Basilea,1294,Journal,Repositorio,0.2213,286
PUB000187,2025-10-12,INST032,REV001,Londres,4002,Journal,Directo,0.2292,917
PUB000188,2025-10-20,INST017,REV008,Munich,1601,Conference,Directo,0.5121,819
PUB000189,2025-10-24,INST009,REV009,Berlín,1605,Book Series,Consorcio,0.332,532
PUB000190,2025-10-24,INST026,REV008,Munich,1589,Conference,Directo,0.3077,488
PUB000191,2025-11-03,INST021,REV009,Berlín,1853,Book Series,Directo,0.0696,128
PUB000192,2025-11-04,INST029,REV009,Berlín,1867,Book Series,Directo,0.2042,381
PUB000193,2025-11-05,INST010,REV010,Hoboken,2166,Journal,Repositorio,0.4642,1005
PUB000194,2025-11-05,INST021,REV012,Oxford,2118,Book Series,Directo,0.0685,145
PUB000195,2025-11-06,INST010,REV001,Londres,4017,Journal,Directo,0.4715,1894
PUB000196,2025-11-09,INST027,REV005,Heidelberg,3126,Journal,Consorcio,0.2604,814
PUB000197,2025-11-15,INST040,REV008,Munich,1613,Conference,Directo,0.0487,78
PUB000198,2025-11-19,INST029,REV008,Munich,981,Conference,Repositorio,0.4611,452
PUB000199,2025-11-22,INST003,REV003,Ámsterdam,3444,Journal,Directo,0.2724,938
PUB000200,2025-11-23,INST004,REV011,Londres,2114,Journal,Consorcio,0.4664,985
PUB000201,2025-11-23,INST037,REV004,Nueva York,2657,Journal,Consorcio,0.1531,406
PUB000202,2025-11-24,INST002,REV002,Basilea,1298,Journal,Repositorio,0.2499,324
PUB000203,2025-11-25,INST008,REV004,Nueva York,2413,Journal,Consorcio,0.5879,1418
PUB000204,2025-11-27,INST019,REV009,Berlín,1925,Book Series,Directo,0.3798,731
PUB000205,2025-11-29,INST033,REV005,Heidelberg,3709,Journal,Directo,0.1887,699
PUB000206,2025-12-06,INST008,REV012,Oxford,2150,Book Series,Directo,0.4546,977
PUB000207,2025-12-12,INST028,REV003,Ámsterdam,3320,Journal,Directo,0.5629,1868
PUB000208,2025-12-13,INST009,REV012,Oxford,2130,Book Series,Directo,0.2959,630
PUB000209,2025-12-15,INST001,REV009,Berlín,1892,Book Series,Directo,0.382,722
PUB000210,2025-12-15,INST001,REV012,Oxford,2052,Book Series,Directo,0.395,810
PUB000211,2025-12-15,INST024,REV003,Ámsterdam,3342,Journal,Directo,0.0123,41
PUB000212,2025-12-15,INST032,REV009,Berlín,1899,Book Series,Directo,0.4011,761
PUB000213,2025-12-15,INST003,REV007,Tokio,1238,Conference,Directo,0.1492,184
PUB000214,2025-12-19,INST018,REV008,Munich,1593,Conference,Directo,0.401,638
PUB000215,2025-12-27,INST001,REV009,Berlín,1627,Book Series,Consorcio,0.3426,557
